datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,load_area,estimated_load_hourly
1/2/2004 3:00:00 PM,1/2/2004 10:00:00 AM,1/2/2004 4:00:00 PM,1/2/2004 11:00:00 AM,PJM-W,6208
1/2/2004 4:00:00 PM,1/2/2004 11:00:00 AM,1/2/2004 5:00:00 PM,1/2/2004 12:00:00 PM,PJM-E,33014
1/2/2004 4:00:00 PM,1/2/2004 11:00:00 AM,1/2/2004 5:00:00 PM,1/2/2004 12:00:00 PM,PJM-W,6181
1/2/2004 5:00:00 PM,1/2/2004 12:00:00 PM,1/2/2004 6:00:00 PM,1/2/2004 1:00:00 PM,PJM-E,32355
1/2/2004 5:00:00 PM,1/2/2004 12:00:00 PM,1/2/2004 6:00:00 PM,1/2/2004 1:00:00 PM,PJM-W,6162
1/2/2004 6:00:00 PM,1/2/2004 1:00:00 PM,1/2/2004 7:00:00 PM,1/2/2004 2:00:00 PM,PJM-E,31727
1/2/2004 6:00:00 PM,1/2/2004 1:00:00 PM,1/2/2004 7:00:00 PM,1/2/2004 2:00:00 PM,PJM-W,6053
1/2/2004 7:00:00 PM,1/2/2004 2:00:00 PM,1/2/2004 8:00:00 PM,1/2/2004 3:00:00 PM,PJM-E,31187
1/2/2004 7:00:00 PM,1/2/2004 2:00:00 PM,1/2/2004 8:00:00 PM,1/2/2004 3:00:00 PM,PJM-W,5942
1/2/2004 8:00:00 PM,1/2/2004 3:00:00 PM,1/2/2004 9:00:00 PM,1/2/2004 4:00:00 PM,PJM-E,30938
1/2/2004 8:00:00 PM,1/2/2004 3:00:00 PM,1/2/2004 9:00:00 PM,1/2/2004 4:00:00 PM,PJM-W,5840
1/2/2004 9:00:00 PM,1/2/2004 4:00:00 PM,1/2/2004 10:00:00 PM,1/2/2004 5:00:00 PM,PJM-E,31819
1/2/2004 9:00:00 PM,1/2/2004 4:00:00 PM,1/2/2004 10:00:00 PM,1/2/2004 5:00:00 PM,PJM-W,5955
1/2/2004 10:00:00 PM,1/2/2004 5:00:00 PM,1/2/2004 11:00:00 PM,1/2/2004 6:00:00 PM,PJM-E,34828
1/2/2004 10:00:00 PM,1/2/2004 5:00:00 PM,1/2/2004 11:00:00 PM,1/2/2004 6:00:00 PM,PJM-W,6292
1/2/2004 11:00:00 PM,1/2/2004 6:00:00 PM,1/3/2004 12:00:00 AM,1/2/2004 7:00:00 PM,PJM-E,34797
1/2/2004 11:00:00 PM,1/2/2004 6:00:00 PM,1/3/2004 12:00:00 AM,1/2/2004 7:00:00 PM,PJM-W,6313
1/3/2004 12:00:00 AM,1/2/2004 7:00:00 PM,1/3/2004 1:00:00 AM,1/2/2004 8:00:00 PM,PJM-E,34026
1/3/2004 12:00:00 AM,1/2/2004 7:00:00 PM,1/3/2004 1:00:00 AM,1/2/2004 8:00:00 PM,PJM-W,6222
1/3/2004 1:00:00 AM,1/2/2004 8:00:00 PM,1/3/2004 2:00:00 AM,1/2/2004 9:00:00 PM,PJM-E,33066
1/3/2004 1:00:00 AM,1/2/2004 8:00:00 PM,1/3/2004 2:00:00 AM,1/2/2004 9:00:00 PM,PJM-W,6062
1/3/2004 2:00:00 AM,1/2/2004 9:00:00 PM,1/3/2004 3:00:00 AM,1/2/2004 10:00:00 PM,PJM-E,31703
1/3/2004 2:00:00 AM,1/2/2004 9:00:00 PM,1/3/2004 3:00:00 AM,1/2/2004 10:00:00 PM,PJM-W,5905
1/3/2004 3:00:00 AM,1/2/2004 10:00:00 PM,1/3/2004 4:00:00 AM,1/2/2004 11:00:00 PM,PJM-E,29803
1/3/2004 3:00:00 AM,1/2/2004 10:00:00 PM,1/3/2004 4:00:00 AM,1/2/2004 11:00:00 PM,PJM-W,5608
1/3/2004 4:00:00 AM,1/2/2004 11:00:00 PM,1/3/2004 5:00:00 AM,1/3/2004 12:00:00 AM,PJM-E,27539
1/3/2004 4:00:00 AM,1/2/2004 11:00:00 PM,1/3/2004 5:00:00 AM,1/3/2004 12:00:00 AM,PJM-W,5206
1/3/2004 5:00:00 AM,1/3/2004 12:00:00 AM,1/3/2004 6:00:00 AM,1/3/2004 1:00:00 AM,PJM-E,25496
1/3/2004 5:00:00 AM,1/3/2004 12:00:00 AM,1/3/2004 6:00:00 AM,1/3/2004 1:00:00 AM,PJM-W,4922
1/3/2004 6:00:00 AM,1/3/2004 1:00:00 AM,1/3/2004 7:00:00 AM,1/3/2004 2:00:00 AM,PJM-E,24128
1/3/2004 6:00:00 AM,1/3/2004 1:00:00 AM,1/3/2004 7:00:00 AM,1/3/2004 2:00:00 AM,PJM-W,4725
1/3/2004 7:00:00 AM,1/3/2004 2:00:00 AM,1/3/2004 8:00:00 AM,1/3/2004 3:00:00 AM,PJM-E,23391
1/3/2004 7:00:00 AM,1/3/2004 2:00:00 AM,1/3/2004 8:00:00 AM,1/3/2004 3:00:00 AM,PJM-W,4577
1/3/2004 8:00:00 AM,1/3/2004 3:00:00 AM,1/3/2004 9:00:00 AM,1/3/2004 4:00:00 AM,PJM-E,22901
1/3/2004 8:00:00 AM,1/3/2004 3:00:00 AM,1/3/2004 9:00:00 AM,1/3/2004 4:00:00 AM,PJM-W,4545
1/3/2004 9:00:00 AM,1/3/2004 4:00:00 AM,1/3/2004 10:00:00 AM,1/3/2004 5:00:00 AM,PJM-E,22986
1/3/2004 9:00:00 AM,1/3/2004 4:00:00 AM,1/3/2004 10:00:00 AM,1/3/2004 5:00:00 AM,PJM-W,4583
1/3/2004 10:00:00 AM,1/3/2004 5:00:00 AM,1/3/2004 11:00:00 AM,1/3/2004 6:00:00 AM,PJM-E,23556
1/3/2004 10:00:00 AM,1/3/2004 5:00:00 AM,1/3/2004 11:00:00 AM,1/3/2004 6:00:00 AM,PJM-W,4675
1/3/2004 11:00:00 AM,1/3/2004 6:00:00 AM,1/3/2004 12:00:00 PM,1/3/2004 7:00:00 AM,PJM-E,24621
1/3/2004 11:00:00 AM,1/3/2004 6:00:00 AM,1/3/2004 12:00:00 PM,1/3/2004 7:00:00 AM,PJM-W,4842
1/3/2004 12:00:00 PM,1/3/2004 7:00:00 AM,1/3/2004 1:00:00 PM,1/3/2004 8:00:00 AM,PJM-E,25793
1/3/2004 12:00:00 PM,1/3/2004 7:00:00 AM,1/3/2004 1:00:00 PM,1/3/2004 8:00:00 AM,PJM-W,5014
1/3/2004 1:00:00 PM,1/3/2004 8:00:00 AM,1/3/2004 2:00:00 PM,1/3/2004 9:00:00 AM,PJM-E,27316
1/3/2004 1:00:00 PM,1/3/2004 8:00:00 AM,1/3/2004 2:00:00 PM,1/3/2004 9:00:00 AM,PJM-W,5187
1/3/2004 2:00:00 PM,1/3/2004 9:00:00 AM,1/3/2004 3:00:00 PM,1/3/2004 10:00:00 AM,PJM-E,28836
1/3/2004 2:00:00 PM,1/3/2004 9:00:00 AM,1/3/2004 3:00:00 PM,1/3/2004 10:00:00 AM,PJM-W,5442
1/3/2004 3:00:00 PM,1/3/2004 10:00:00 AM,1/3/2004 4:00:00 PM,1/3/2004 11:00:00 AM,PJM-E,29574
1/3/2004 3:00:00 PM,1/3/2004 10:00:00 AM,1/3/2004 4:00:00 PM,1/3/2004 11:00:00 AM,PJM-W,5589
1/3/2004 4:00:00 PM,1/3/2004 11:00:00 AM,1/3/2004 5:00:00 PM,1/3/2004 12:00:00 PM,PJM-E,29387
1/3/2004 4:00:00 PM,1/3/2004 11:00:00 AM,1/3/2004 5:00:00 PM,1/3/2004 12:00:00 PM,PJM-W,5538
1/3/2004 5:00:00 PM,1/3/2004 12:00:00 PM,1/3/2004 6:00:00 PM,1/3/2004 1:00:00 PM,PJM-E,29031
1/3/2004 5:00:00 PM,1/3/2004 12:00:00 PM,1/3/2004 6:00:00 PM,1/3/2004 1:00:00 PM,PJM-W,5495
1/3/2004 6:00:00 PM,1/3/2004 1:00:00 PM,1/3/2004 7:00:00 PM,1/3/2004 2:00:00 PM,PJM-E,28372
1/3/2004 6:00:00 PM,1/3/2004 1:00:00 PM,1/3/2004 7:00:00 PM,1/3/2004 2:00:00 PM,PJM-W,5413
1/3/2004 7:00:00 PM,1/3/2004 2:00:00 PM,1/3/2004 8:00:00 PM,1/3/2004 3:00:00 PM,PJM-E,27709
1/3/2004 7:00:00 PM,1/3/2004 2:00:00 PM,1/3/2004 8:00:00 PM,1/3/2004 3:00:00 PM,PJM-W,5330
1/3/2004 8:00:00 PM,1/3/2004 3:00:00 PM,1/3/2004 9:00:00 PM,1/3/2004 4:00:00 PM,PJM-E,27457
1/3/2004 8:00:00 PM,1/3/2004 3:00:00 PM,1/3/2004 9:00:00 PM,1/3/2004 4:00:00 PM,PJM-W,5214
1/3/2004 9:00:00 PM,1/3/2004 4:00:00 PM,1/3/2004 10:00:00 PM,1/3/2004 5:00:00 PM,PJM-E,28421
1/3/2004 9:00:00 PM,1/3/2004 4:00:00 PM,1/3/2004 10:00:00 PM,1/3/2004 5:00:00 PM,PJM-W,5323
1/3/2004 10:00:00 PM,1/3/2004 5:00:00 PM,1/3/2004 11:00:00 PM,1/3/2004 6:00:00 PM,PJM-E,31197
1/3/2004 10:00:00 PM,1/3/2004 5:00:00 PM,1/3/2004 11:00:00 PM,1/3/2004 6:00:00 PM,PJM-W,5682
1/3/2004 11:00:00 PM,1/3/2004 6:00:00 PM,1/4/2004 12:00:00 AM,1/3/2004 7:00:00 PM,PJM-E,31572
1/3/2004 11:00:00 PM,1/3/2004 6:00:00 PM,1/4/2004 12:00:00 AM,1/3/2004 7:00:00 PM,PJM-W,5765
1/4/2004 12:00:00 AM,1/3/2004 7:00:00 PM,1/4/2004 1:00:00 AM,1/3/2004 8:00:00 PM,PJM-E,30908
1/4/2004 12:00:00 AM,1/3/2004 7:00:00 PM,1/4/2004 1:00:00 AM,1/3/2004 8:00:00 PM,PJM-W,5669
1/4/2004 1:00:00 AM,1/3/2004 8:00:00 PM,1/4/2004 2:00:00 AM,1/3/2004 9:00:00 PM,PJM-E,30277
1/4/2004 1:00:00 AM,1/3/2004 8:00:00 PM,1/4/2004 2:00:00 AM,1/3/2004 9:00:00 PM,PJM-W,5569
1/4/2004 2:00:00 AM,1/3/2004 9:00:00 PM,1/4/2004 3:00:00 AM,1/3/2004 10:00:00 PM,PJM-E,29190
1/4/2004 2:00:00 AM,1/3/2004 9:00:00 PM,1/4/2004 3:00:00 AM,1/3/2004 10:00:00 PM,PJM-W,5341
1/4/2004 3:00:00 AM,1/3/2004 10:00:00 PM,1/4/2004 4:00:00 AM,1/3/2004 11:00:00 PM,PJM-E,27642
1/4/2004 3:00:00 AM,1/3/2004 10:00:00 PM,1/4/2004 4:00:00 AM,1/3/2004 11:00:00 PM,PJM-W,5088
1/4/2004 4:00:00 AM,1/3/2004 11:00:00 PM,1/4/2004 5:00:00 AM,1/4/2004 12:00:00 AM,PJM-E,25583
1/4/2004 4:00:00 AM,1/3/2004 11:00:00 PM,1/4/2004 5:00:00 AM,1/4/2004 12:00:00 AM,PJM-W,4789
1/4/2004 5:00:00 AM,1/4/2004 12:00:00 AM,1/4/2004 6:00:00 AM,1/4/2004 1:00:00 AM,PJM-E,23636
1/4/2004 5:00:00 AM,1/4/2004 12:00:00 AM,1/4/2004 6:00:00 AM,1/4/2004 1:00:00 AM,PJM-W,4541
1/4/2004 6:00:00 AM,1/4/2004 1:00:00 AM,1/4/2004 7:00:00 AM,1/4/2004 2:00:00 AM,PJM-E,22382
1/4/2004 6:00:00 AM,1/4/2004 1:00:00 AM,1/4/2004 7:00:00 AM,1/4/2004 2:00:00 AM,PJM-W,4319
1/4/2004 7:00:00 AM,1/4/2004 2:00:00 AM,1/4/2004 8:00:00 AM,1/4/2004 3:00:00 AM,PJM-E,21610
1/4/2004 7:00:00 AM,1/4/2004 2:00:00 AM,1/4/2004 8:00:00 AM,1/4/2004 3:00:00 AM,PJM-W,4239
1/4/2004 8:00:00 AM,1/4/2004 3:00:00 AM,1/4/2004 9:00:00 AM,1/4/2004 4:00:00 AM,PJM-E,21262
1/4/2004 8:00:00 AM,1/4/2004 3:00:00 AM,1/4/2004 9:00:00 AM,1/4/2004 4:00:00 AM,PJM-W,4234
1/4/2004 9:00:00 AM,1/4/2004 4:00:00 AM,1/4/2004 10:00:00 AM,1/4/2004 5:00:00 AM,PJM-E,21199
1/4/2004 9:00:00 AM,1/4/2004 4:00:00 AM,1/4/2004 10:00:00 AM,1/4/2004 5:00:00 AM,PJM-W,4183
1/4/2004 10:00:00 AM,1/4/2004 5:00:00 AM,1/4/2004 11:00:00 AM,1/4/2004 6:00:00 AM,PJM-E,21598
1/4/2004 10:00:00 AM,1/4/2004 5:00:00 AM,1/4/2004 11:00:00 AM,1/4/2004 6:00:00 AM,PJM-W,4224
1/4/2004 11:00:00 AM,1/4/2004 6:00:00 AM,1/4/2004 12:00:00 PM,1/4/2004 7:00:00 AM,PJM-E,22399
1/4/2004 11:00:00 AM,1/4/2004 6:00:00 AM,1/4/2004 12:00:00 PM,1/4/2004 7:00:00 AM,PJM-W,4404
1/4/2004 12:00:00 PM,1/4/2004 7:00:00 AM,1/4/2004 1:00:00 PM,1/4/2004 8:00:00 AM,PJM-E,23410
1/4/2004 12:00:00 PM,1/4/2004 7:00:00 AM,1/4/2004 1:00:00 PM,1/4/2004 8:00:00 AM,PJM-W,4654
1/4/2004 1:00:00 PM,1/4/2004 8:00:00 AM,1/4/2004 2:00:00 PM,1/4/2004 9:00:00 AM,PJM-E,24505
1/4/2004 1:00:00 PM,1/4/2004 8:00:00 AM,1/4/2004 2:00:00 PM,1/4/2004 9:00:00 AM,PJM-W,4942
1/4/2004 2:00:00 PM,1/4/2004 9:00:00 AM,1/4/2004 3:00:00 PM,1/4/2004 10:00:00 AM,PJM-E,26155
1/4/2004 2:00:00 PM,1/4/2004 9:00:00 AM,1/4/2004 3:00:00 PM,1/4/2004 10:00:00 AM,PJM-W,5160
1/4/2004 3:00:00 PM,1/4/2004 10:00:00 AM,1/4/2004 4:00:00 PM,1/4/2004 11:00:00 AM,PJM-E,27269
1/4/2004 3:00:00 PM,1/4/2004 10:00:00 AM,1/4/2004 4:00:00 PM,1/4/2004 11:00:00 AM,PJM-W,5336
1/4/2004 4:00:00 PM,1/4/2004 11:00:00 AM,1/4/2004 5:00:00 PM,1/4/2004 12:00:00 PM,PJM-E,27987
1/4/2004 4:00:00 PM,1/4/2004 11:00:00 AM,1/4/2004 5:00:00 PM,1/4/2004 12:00:00 PM,PJM-W,5410
1/4/2004 5:00:00 PM,1/4/2004 12:00:00 PM,1/4/2004 6:00:00 PM,1/4/2004 1:00:00 PM,PJM-E,28430
1/4/2004 5:00:00 PM,1/4/2004 12:00:00 PM,1/4/2004 6:00:00 PM,1/4/2004 1:00:00 PM,PJM-W,5482
1/4/2004 6:00:00 PM,1/4/2004 1:00:00 PM,1/4/2004 7:00:00 PM,1/4/2004 2:00:00 PM,PJM-E,28461
1/4/2004 6:00:00 PM,1/4/2004 1:00:00 PM,1/4/2004 7:00:00 PM,1/4/2004 2:00:00 PM,PJM-W,5477
1/4/2004 7:00:00 PM,1/4/2004 2:00:00 PM,1/4/2004 8:00:00 PM,1/4/2004 3:00:00 PM,PJM-E,28384
